Team_1,Team_2,Winner,Margin,Ground,Match_Date,Scorecard
England,Sri Lanka,England,8 wickets,Lord's,"May 14, 1999",ODI # 1443
India,South Africa,South Africa,4 wickets,Hove,"May 15, 1999",ODI # 1444
Kenya,Zimbabwe,Zimbabwe,5 wickets,Taunton,"May 15, 1999",ODI # 1445
Australia,Scotland,Australia,6 wickets,Worcester,"May 16, 1999",ODI # 1446
Pakistan,West Indies,Pakistan,27 runs,Bristol,"May 16, 1999",ODI # 1447
Bangladesh,New Zealand,New Zealand,6 wickets,Chelmsford,"May 17, 1999",ODI # 1448
England,Kenya,England,9 wickets,Canterbury,"May 18, 1999",ODI # 1449
India,Zimbabwe,Zimbabwe,3 runs,Leicester,"May 19, 1999",ODI # 1450
South Africa,Sri Lanka,South Africa,89 runs,Northampton,"May 19, 1999",ODI # 1451
Australia,New Zealand,New Zealand,5 wickets,Cardiff,"May 20, 1999",ODI # 1452
Pakistan,Scotland,Pakistan,94 runs,Chester-le-Street,"May 20, 1999",ODI # 1453
Bangladesh,West Indies,West Indies,7 wickets,Dublin,"May 21, 1999",ODI # 1454
England,South Africa,South Africa,122 runs,The Oval,"May 22, 1999",ODI # 1455
Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,Worcester,"May 22, 1999",ODI # 1456
India,Kenya,India,94 runs,Bristol,"May 23, 1999",ODI # 1457
Australia,Pakistan,Pakistan,10 runs,Leeds,"May 23, 1999",ODI # 1458
Scotland,Bangladesh,Bangladesh,22 runs,Edinburgh,"May 24, 1999",ODI # 1459
New Zealand,West Indies,West Indies,7 wickets,Southampton,"May 24, 1999",ODI # 1460
England,Zimbabwe,England,7 wickets,Nottingham,"May 25, 1999",ODI # 1461
Kenya,South Africa,South Africa,7 wickets,Amstelveen,"May 26, 1999",ODI # 1462
India,Sri Lanka,India,157 runs,Taunton,"May 26, 1999",ODI # 1463
Australia,Bangladesh,Australia,7 wickets,Chester-le-Street,"May 27, 1999",ODI # 1464
Scotland,West Indies,West Indies,8 wickets,Leicester,"May 27, 1999",ODI # 1465
New Zealand,Pakistan,Pakistan,62 runs,Derby,"May 28, 1999",ODI # 1466
England,India,India,63 runs,Birmingham,"May 29-30, 1999",ODI # 1467
South Africa,Zimbabwe,Zimbabwe,48 runs,Chelmsford,"May 29, 1999",ODI # 1468
Kenya,Sri Lanka,Sri Lanka,45 runs,Southampton,"May 30, 1999",ODI # 1469
Australia,West Indies,Australia,6 wickets,Manchester,"May 30, 1999",ODI # 1470
Pakistan,Bangladesh,Bangladesh,62 runs,Northampton,"May 31, 1999",ODI # 1471
Scotland,New Zealand,New Zealand,6 wickets,Edinburgh,"May 31, 1999",ODI # 1472
Australia,India,Australia,77 runs,The Oval,"Jun 4, 1999",ODI # 1473
Pakistan,South Africa,South Africa,3 wickets,Nottingham,"Jun 5, 1999",ODI # 1474
India,Pakistan,India,47 runs,Manchester,"Jun 8, 1999",ODI # 1476
Australia,Zimbabwe,Australia,44 runs,Lord's,"Jun 9, 1999",ODI # 1477
New Zealand,South Africa,South Africa,74 runs,Birmingham,"Jun 10, 1999",ODI # 1478
Pakistan,Zimbabwe,Pakistan,148 runs,The Oval,"Jun 11, 1999",ODI # 1479
India,New Zealand,New Zealand,5 wickets,Nottingham,"Jun 12, 1999",ODI # 1480
Australia,South Africa,Australia,5 wickets,Leeds,"Jun 13, 1999",ODI # 1481
